98
4184
false
0 8 16
0 42 18
0 14 15
0 76 5
0 84 17
0 78 0
0 20 8
0 40 4
0 54 5
0 21 7
0 93 11
0 13 16
0 43 2
0 87 1
0 5 7
0 53 7
0 60 10
0 11 5
0 27 4
0 50 12
0 97 2
0 61 5
0 86 14
0 65 15
0 62 11
0 72 10
0 64 0
0 26 2
0 30 10
0 83 18
0 63 2
0 79 10
0 95 0
0 90 10
0 6 10
0 16 11
0 28 8
0 70 15
0 10 11
0 92 8
0 24 7
0 18 6
0 77 11
0 17 1
0 29 6
0 44 15
0 52 18
0 32 12
0 71 9
0 88 15
0 7 10
0 15 16
0 35 9
0 39 15
0 55 7
0 47 13
0 80 2
0 2 12
0 67 4
0 49 5
0 66 17
0 4 0
0 45 5
0 36 9
0 12 15
0 59 18
0 48 17
0 23 0
0 85 7
0 33 1
0 1 9
0 38 6
0 34 13
0 96 2
0 19 2
0 3 2
0 41 4
0 91 13
0 89 11
1 35 5
1 61 3
1 29 4
1 14 11
1 70 1
1 8 18
1 85 11
1 51 1
1 23 16
1 45 2
1 95 12
1 87 11
1 56 14
1 20 1
1 24 15
1 46 8
1 31 1
1 80 18
1 94 13
1 52 7
1 82 11
1 13 0
1 34 18
1 67 17
1 26 17
1 27 15
1 63 0
1 91 6
1 6 13
1 38 1
1 93 17
1 58 4
1 66 1
1 5 7
1 48 2
1 16 12
1 97 0
1 10 9
1 54 6
1 40 16
1 19 18
1 74 3
1 96 3
1 18 9
1 86 13
1 53 9
1 83 18
1 12 2
1 11 11
1 72 8
1 17 15
1 15 6
1 36 16
1 57 5
1 49 9
1 37 13
1 21 12
1 39 18
1 41 1
1 69 5
1 30 9
1 0 9
1 78 12
1 76 10
1 73 18
1 22 1
1 55 17
1 65 6
1 59 6
1 44 3
1 2 11
1 84 13
1 64 3
1 77 4
1 88 7
2 44 1
2 90 8
2 88 15
2 31 16
2 68 11
2 7 7
2 96 13
2 21 13
2 36 16
2 46 11
2 54 16
2 77 10
2 3 2
2 51 17
2 94 4
2 4 18
2 63 17
2 59 12
2 26 7
2 57 11
2 48 0
2 60 7
2 78 9
2 15 18
2 75 4
2 32 14
2 69 4
2 41 1
2 64 2
2 49 12
2 62 13
2 11 13
2 66 9
2 43 4
2 81 18
2 29 11
2 89 15
2 25 8
2 1 18
2 73 0
2 18 18
2 0 17
2 87 5
2 83 17
2 37 9
2 34 12
2 61 7
2 28 8
2 47 5
2 85 0
2 71 6
2 19 10
2 24 8
2 76 10
2 30 13
2 13 17
2 55 2
2 95 4
2 45 0
2 72 0
2 56 3
2 91 9
2 80 14
2 67 8
2 10 5
2 92 11
2 20 0
2 17 10
2 6 15
2 93 3
2 82 5
2 16 17
2 65 7
2 12 4
2 22 0
2 52 10
2 33 4
2 40 5
2 84 3
2 14 7
2 42 7
2 8 15
2 97 14
2 23 12
2 70 9
3 93 18
3 51 8
3 34 2
3 59 14
3 67 10
3 43 4
3 32 1
3 73 4
3 77 2
3 4 5
3 17 16
3 80 15
3 40 0
3 65 14
3 9 9
3 35 6
3 15 11
3 16 17
3 11 3
3 45 12
3 86 17
3 70 10
3 84 2
3 33 16
3 48 10
3 88 8
3 72 17
3 50 12
3 36 4
3 27 11
3 54 8
3 71 2
3 7 15
3 21 4
3 57 4
3 42 9
3 52 15
3 97 9
3 91 12
3 39 15
3 75 11
3 41 7
3 96 6
3 22 9
3 44 15
3 58 7
3 92 11
3 95 12
4 31 10
4 63 4
4 33 2
4 7 16
4 37 5
4 73 12
4 66 10
4 90 8
4 96 0
4 24 10
4 45 2
4 49 11
4 54 16
4 70 1
4 2 8
4 59 17
4 51 18
4 20 0
4 53 3
4 52 18
4 26 6
4 10 1
5 32 15
5 85 9
5 48 7
